year,genre,name,num
2022,M,ALI,13
2021,M,ALI,7
2020,M,ALI,8
2019,M,ALI,10
2018,M,ALI,14
2017,M,ALI,11
2016,M,ALI,8
2015,M,ALI,18
2014,M,ALI,10
2013,M,ALI,13
2012,M,ALI,16
2011,M,ALI,14
2010,M,ALI,11
2009,M,ALI,7
2008,M,ALI,20
2007,M,ALI,14
2006,M,ALI,8
2005,M,ALI,12
2004,M,ALI,9
2003,M,ALI,12
2002,M,ALI,6
2001,M,ALI,6
2000,M,ALI,3
2022,M,ALLEN,3
2021,M,ALLEN,0
2020,M,ALLEN,2
2019,M,ALLEN,2
2018,M,ALLEN,2
2017,M,ALLEN,2
2016,M,ALLEN,0
